status,stage,p,seed,density,code_version,gate_pass,n_targets,min_chain_len,heldout,null_gap
structural_block: only 0 chains,P3-B,0.006,100.0,0.1892648432288192,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,101.0,0.17384923282188125,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,102.0,0.21933911496553257,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,103.0,0.20720569268401157,2558335,0.0,,,,
structural_block: only 1 chains,P3-B,0.006,104.0,0.2070624861018457,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,105.0,0.17851100733822547,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,106.0,0.17902868579052703,2558335,0.0,,,,
structural_block: only 1 chains,P3-B,0.006,107.0,0.19433488992661774,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,108.0,0.18047854124972204,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,109.0,0.2011171892372693,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,110.0,0.18862174783188793,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,111.0,0.2056046253057594,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,112.0,0.19845674894374027,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,113.0,0.19567889704247277,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,114.0,0.18180653769179453,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,115.0,0.19515232377140315,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,116.0,0.1848574605292417,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,117.0,0.19723193239937736,2558335,0.0,,,,
structural_block: only 1 chains,P3-B,0.006,118.0,0.20520080053368914,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,119.0,0.19181854569713142,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,100.0,0.3370620413609073,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,101.0,0.31643050922837446,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,102.0,0.36321458750277963,2558335,0.0,,,,
structural_block: only 4 chains,P3-B,0.008,103.0,0.3420733822548366,2558335,0.0,,,,
structural_block: only 3 chains,P3-B,0.008,104.0,0.34202090282410497,2558335,0.0,,,,
structural_block: only 1 chains,P3-B,0.008,105.0,0.321919501890149,2558335,0.0,,,,
structural_block: only 4 chains,P3-B,0.008,106.0,0.3385581498776962,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,107.0,0.3486199688681343,2558335,0.0,,,,
structural_block: only 3 chains,P3-B,0.008,108.0,0.32082277073604626,2558335,0.0,,,,
structural_block: only 3 chains,P3-B,0.008,109.0,0.3547609517456082,2558335,0.0,,,,
structural_block: only 3 chains,P3-B,0.008,110.0,0.33336090727151435,2558335,0.0,,,,
structural_block: only 5 chains,P3-B,0.008,111.0,0.34479786524349565,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,112.0,0.33804580831665554,2558335,0.0,,,,
structural_block: only 4 chains,P3-B,0.008,113.0,0.33667778519012675,2558335,0.0,,,,
structural_block: only 3 chains,P3-B,0.008,114.0,0.31940493662441627,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,115.0,0.33721681120747166,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,116.0,0.3280684901045141,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,117.0,0.3337745163442295,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,118.0,0.34066889037135867,2558335,0.0,,,,
structural_block: only 4 chains,P3-B,0.008,119.0,0.3432928619079386,2558335,0.0,,,,
ok,P3-B,0.01,100.0,0.45242695130086724,2558335,0.0,44.0,25.0,0.2675,-0.02125000000000002
structural_block: only 4 chains,P3-B,0.01,101.0,0.4300867244829887,2558335,0.0,,,,
structural_block: only 4 chains,P3-B,0.01,102.0,0.4603308872581721,2558335,0.0,,,,
ok,P3-B,0.01,103.0,0.45617344896597734,2558335,0.0,44.0,26.0,0.1925,-0.01125000000000001
ok,P3-B,0.01,104.0,0.4684216144096064,2558335,0.0,44.0,26.0,0.22875,0.0037500000000000033
ok,P3-B,0.01,105.0,0.43729597509450746,2558335,0.0,44.0,26.0,0.24625,0.008750000000000008
ok,P3-B,0.01,106.0,0.46146408716922394,2558335,0.0,44.0,28.0,0.2875,-0.01749999999999996
ok,P3-B,0.01,107.0,0.4589086057371581,2558335,0.0,44.0,26.0,0.1975,0.057499999999999996
ok,P3-B,0.01,108.0,0.449762953079831,2558335,0.0,44.0,25.0,0.2475,-0.03875000000000001
ok,P3-B,0.01,109.0,0.475917278185457,2558335,0.0,44.0,27.0,0.24625,0.03624999999999998
ok,P3-B,0.01,110.0,0.461974649766511,2558335,0.0,44.0,27.0,0.2225,0.007500000000000007
ok,P3-B,0.01,111.0,0.45529730931732265,2558335,0.0,44.0,26.0,0.19375,0.06875
ok,P3-B,0.01,112.0,0.4513311096286413,2558335,0.0,44.0,25.0,0.255,-0.017500000000000016
structural_block: only 5 chains,P3-B,0.01,113.0,0.4447756281965755,2558335,0.0,,,,
structural_block: only 5 chains,P3-B,0.01,114.0,0.4383082054703135,2558335,0.0,,,,
ok,P3-B,0.01,115.0,0.4534080498109851,2558335,0.0,44.0,26.0,0.3125,-0.016249999999999987
ok,P3-B,0.01,116.0,0.43903313319991105,2558335,0.0,44.0,25.0,0.2225,0.08499999999999999
ok,P3-B,0.01,117.0,0.4423864798754725,2558335,0.0,44.0,26.0,0.26875,-0.013749999999999984
ok,P3-B,0.01,118.0,0.44935023348899267,2558335,0.0,44.0,25.0,0.20375,0.09250000000000003
ok,P3-B,0.01,119.0,0.45895663775850565,2558335,0.0,44.0,26.0,0.23375,0.07374999999999998
ok,P3-B,0.014,100.0,0.6057869690905048,2558335,0.0,44.0,31.0,0.295,-0.06874999999999998
ok,P3-B,0.014,101.0,0.599976873471203,2558335,0.0,44.0,32.0,0.26625,0.01874999999999999
ok,P3-B,0.014,102.0,0.6090362463864799,2558335,0.0,44.0,32.0,0.22375,0.034999999999999976
ok,P3-B,0.014,103.0,0.6121627751834556,2558335,0.0,44.0,32.0,0.2,0.10375000000000001
ok,P3-B,0.014,104.0,0.6213039804313987,2558335,0.0,44.0,31.0,0.2275,-0.008750000000000008
ok,P3-B,0.014,105.0,0.5943019790971759,2558335,0.0,44.0,30.0,0.2225,-0.0062500000000000056
ok,P3-B,0.014,106.0,0.6067227040249055,2558335,0.0,44.0,33.0,0.2775,-0.038750000000000034
ok,P3-B,0.014,107.0,0.606734267289304,2558335,0.0,44.0,31.0,0.2175,0.07249999999999998
ok,P3-B,0.014,108.0,0.5974089392928619,2558335,0.0,44.0,31.0,0.285,-0.06249999999999997
ok,P3-B,0.014,109.0,0.6297255948410051,2558335,0.0,44.0,34.0,0.24625,-0.05875
ok,P3-B,0.014,110.0,0.605776295307983,2558335,0.0,44.0,33.0,0.24875,0.0024999999999999745
ok,P3-B,0.014,111.0,0.6044714253947076,2558335,0.0,44.0,31.0,0.28875,-0.10375000000000001
ok,P3-B,0.014,112.0,0.5984158327774072,2558335,0.0,44.0,30.0,0.2325,0.046249999999999986
ok,P3-B,0.014,113.0,0.6053609072715144,2558335,0.0,44.0,31.0,0.25,0.0012499999999999734
ok,P3-B,0.014,114.0,0.5835276851234156,2558335,0.0,44.0,29.0,0.24875,0.05500000000000002
ok,P3-B,0.014,115.0,0.6062913053146542,2558335,0.0,44.0,32.0,0.3075,-0.1175
ok,P3-B,0.014,116.0,0.5954004892150322,2558335,0.0,44.0,30.0,0.1775,0.06875
ok,P3-B,0.014,117.0,0.5916726706693352,2558335,0.0,44.0,34.0,0.2325,0.07375000000000001
ok,P3-B,0.014,118.0,0.5992928619079386,2558335,0.0,44.0,32.0,0.245,-0.046249999999999986
ok,P3-B,0.014,119.0,0.6235730486991328,2558335,0.0,44.0,35.0,0.27,-0.06875
ok,P3-B,0.02,100.0,0.7320907271514343,2558335,0.0,44.0,40.0,0.24375,-0.01874999999999999
ok,P3-B,0.02,101.0,0.7267440515899488,2558335,0.0,44.0,41.0,0.25875,0.04750000000000004
ok,P3-B,0.02,102.0,0.7307991994663109,2558335,0.0,44.0,43.0,0.21875,0.034999999999999976
ok,P3-B,0.02,103.0,0.7352999777629531,2558335,0.0,44.0,37.0,0.26,0.024999999999999967
ok,P3-B,0.02,104.0,0.7377193684678675,2558335,0.0,44.0,42.0,0.215,-0.023749999999999993
ok,P3-B,0.02,105.0,0.7264273960418056,2558335,0.0,44.0,38.0,0.21375,-0.013749999999999984
ok,P3-B,0.02,106.0,0.7341338670224594,2558335,0.0,44.0,42.0,0.205,0.015000000000000013
ok,P3-B,0.02,107.0,0.736897487213698,2558335,0.0,44.0,42.0,0.33625,-0.09375
ok,P3-B,0.02,108.0,0.730664887702913,2558335,0.0,44.0,39.0,0.21125,-0.01874999999999999
ok,P3-B,0.02,109.0,0.7456731154102735,2558335,0.0,44.0,41.0,0.16125,0.0
ok,P3-B,0.02,110.0,0.7334213920391373,2558335,0.0,44.0,38.0,0.18875,-0.04375000000000001
ok,P3-B,0.02,111.0,0.7308018679119413,2558335,0.0,44.0,39.0,0.19875,-0.035
ok,P3-B,0.02,112.0,0.7219168334445185,2558335,0.0,44.0,38.0,0.2375,0.04749999999999999
ok,P3-B,0.02,113.0,0.7292016900155659,2558335,0.0,44.0,39.0,0.195,0.028749999999999998
ok,P3-B,0.02,114.0,0.715056259728708,2558335,0.0,44.0,41.0,0.23125,-0.007500000000000007
ok,P3-B,0.02,115.0,0.7415388036468757,2558335,0.0,44.0,43.0,0.19,0.057499999999999996
ok,P3-B,0.02,116.0,0.7280071158550144,2558335,0.0,44.0,41.0,0.2275,0.027499999999999997
ok,P3-B,0.02,117.0,0.7246493217700689,2558335,0.0,44.0,41.0,0.24625,0.05875
ok,P3-B,0.02,118.0,0.724736490993996,2558335,0.0,44.0,39.0,0.24625,0.01125000000000001
ok,P3-B,0.02,119.0,0.7456517678452301,2558335,0.0,44.0,42.0,0.2625,-0.016250000000000014
