beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
12.0,2,bipartite,700002,0,0.810019,continuum,4507002,83397.0,3107.0,2452.0,2207.0,2.0988490469596313,40.0,1.3246108571333366
12.0,2,bipartite,700002,1,0.810019,continuum,4507002,84972.0,3004.0,2481.0,2159.0,2.0741302340939587,40.0,1.0931943777863573
12.0,2,bipartite,700002,2,0.810019,continuum,4507002,85459.0,2976.0,2404.0,2088.0,2.0665672030558104,44.0,1.5293926627346117
12.0,2,bipartite,700002,3,0.810019,continuum,4507002,83846.0,3067.0,2387.0,2065.0,2.0917613207438617,46.0,1.0137961768583459
12.0,2,bipartite,700002,4,0.810019,continuum,4507002,83983.0,3018.0,2420.0,2164.0,2.089605243770716,42.0,1.1459506444018572
12.0,2,bipartite,700002,5,0.810019,continuum,4507002,86944.0,3061.0,2369.0,2096.0,2.0437326030270935,42.0,1.2917983810270819
12.0,2,bipartite,700002,6,0.810019,continuum,4507002,88153.0,3057.0,2479.0,2110.0,2.0253883762038205,41.0,1.3882754594685416
12.0,2,bipartite,700002,7,0.810019,continuum,4507002,85460.0,3062.0,2446.0,2156.0,2.0665517115340464,40.0,1.3019833274364387
12.0,2,bipartite,700002,8,0.810019,continuum,4507002,87934.0,3130.0,2471.0,2162.0,2.0286951963279947,44.0,1.304277711570542
12.0,2,bipartite,700002,9,0.810019,continuum,4507002,84877.0,3083.0,2467.0,2125.0,2.075609930409885,39.0,0.9125807512131061
12.0,2,bipartite,700002,10,0.810019,continuum,4507002,85443.0,3042.0,2537.0,2180.0,2.066815088679313,42.0,1.013097218169559
12.0,2,bipartite,700002,11,0.810019,continuum,4507002,83619.0,3060.0,2432.0,2103.0,2.0953405254126203,43.0,1.3488394594466122
12.0,2,bipartite,700002,12,0.810019,continuum,4507002,85557.0,3069.0,2496.0,2146.0,2.06504977677936,39.0,1.0196401482289694
12.0,2,bipartite,700002,13,0.810019,continuum,4507002,84115.0,2963.0,2505.0,2075.0,2.087530734714143,40.0,1.0000627065797687
12.0,2,bipartite,700002,14,0.810019,continuum,4507002,87498.0,3103.0,2387.0,2129.0,2.035299724287823,42.0,1.2090720946428597
12.0,2,bipartite,700002,15,0.810019,continuum,4507002,84529.0,3089.0,2391.0,2195.0,2.081042545425575,40.0,0.9981955517304044
12.0,2,bipartite,700002,16,0.810019,continuum,4507002,87620.0,3140.0,2448.0,2178.0,2.0334488277591998,41.0,1.3586295832343396
12.0,2,bipartite,700002,17,0.810019,continuum,4507002,88685.0,3162.0,2465.0,2165.0,2.017384597140852,45.0,1.0464040719534324
12.0,2,bipartite,700002,18,0.810019,continuum,4507002,85600.0,3095.0,2381.0,2101.0,2.06438444055547,44.0,1.1204388267557484
12.0,2,bipartite,700002,19,0.810019,continuum,4507002,87370.0,2973.0,2449.0,2135.0,2.0372440319122918,44.0,1.427922962653799
12.0,2,bipartite,700002,20,0.810019,continuum,4507002,87183.0,3131.0,2422.0,2261.0,2.0400889463545537,42.0,1.262542421030492
12.0,2,bipartite,700002,21,0.810019,continuum,4507002,84347.0,3069.0,2375.0,2110.0,2.0838914468809593,42.0,1.0828137135125218
12.0,2,bipartite,700002,22,0.810019,continuum,4507002,83460.0,2989.0,2448.0,2092.0,2.0978525634110348,44.0,1.4737099711408526
12.0,2,bipartite,700002,23,0.810019,continuum,4507002,90030.0,3110.0,2438.0,2112.0,1.9973311617666933,43.0,1.4456250971570945
12.0,2,bipartite,700002,24,0.810019,continuum,4507002,87050.0,3051.0,2602.0,2183.0,2.04211552692718,38.0,1.035270820420969
12.0,2,bipartite,700002,25,0.810019,continuum,4507002,85783.0,3088.0,2457.0,2132.0,2.0615561132680176,41.0,1.3232102150274017
12.0,2,bipartite,700002,26,0.810019,continuum,4507002,85107.0,3089.0,2390.0,2132.0,2.072029964208131,42.0,1.2931838818169226
12.0,2,bipartite,700002,27,0.810019,continuum,4507002,83778.0,3053.0,2480.0,2173.0,2.0928326237133223,43.0,1.1787498955526026
12.0,2,bipartite,700002,28,0.810019,continuum,4507002,82093.0,3086.0,2411.0,2138.0,2.1196228196050555,40.0,0.8330071631958589
12.0,2,bipartite,700002,29,0.810019,continuum,4507002,85062.0,3061.0,2485.0,2144.0,2.0727297342429694,40.0,1.0524871109307874
12.0,2,bipartite,700002,30,0.810019,continuum,4507002,85850.0,3075.0,2397.0,2206.0,2.0605219064496927,42.0,1.0885321981998004
12.0,2,bipartite,700002,31,0.810019,continuum,4507002,84635.0,2983.0,2403.0,2088.0,2.079385738831684,41.0,1.4393595228835316
12.0,2,bipartite,700002,32,0.810019,continuum,4507002,89323.0,3026.0,2443.0,2019.0,2.007840095302644,43.0,1.9373918125283645
12.0,2,bipartite,700002,33,0.810019,continuum,4507002,88611.0,3004.0,2518.0,2110.0,2.0184954386033027,43.0,1.5016865427139763
12.0,2,bipartite,700002,34,0.810019,continuum,4507002,86036.0,3076.0,2476.0,2123.0,2.0576544670736183,41.0,1.1574366600923511
12.0,2,bipartite,700002,35,0.810019,continuum,4507002,83909.0,3057.0,2430.0,2208.0,2.090769461460214,43.0,0.9340995720331087
12.0,2,bipartite,700002,36,0.810019,continuum,4507002,85611.0,3023.0,2445.0,2198.0,2.0642142845751934,44.0,1.4330623786563947
12.0,2,bipartite,700002,37,0.810019,continuum,4507002,84299.0,2958.0,2534.0,2118.0,2.084643691660549,39.0,1.3499613211668198
12.0,2,bipartite,700002,38,0.810019,continuum,4507002,84298.0,2977.0,2435.0,2120.0,2.084659367367321,43.0,1.3109792150731998
12.0,2,bipartite,700002,39,0.810019,continuum,4507002,85651.0,3059.0,2378.0,2089.0,2.063595694478474,41.0,1.5310171551437222
12.0,2,bipartite,700002,40,0.810019,continuum,4507002,86380.0,3068.0,2412.0,2106.0,2.052365289807133,44.0,1.45154848824302
12.0,2,bipartite,700002,41,0.810019,continuum,4507002,81626.0,3060.0,2487.0,2117.0,2.127132297768995,39.0,1.0249831096036885
12.0,2,bipartite,700002,42,0.810019,continuum,4507002,86975.0,3074.0,2384.0,2214.0,2.0432595092776253,41.0,1.2243188408280936
12.0,2,bipartite,700002,43,0.810019,continuum,4507002,85048.0,3093.0,2501.0,2142.0,2.0729475056851667,40.0,0.7617125759687013
12.0,2,bipartite,700002,44,0.810019,continuum,4507002,84885.0,3019.0,2411.0,2069.0,2.075485269242474,46.0,1.3744842791094243
12.0,2,bipartite,700002,45,0.810019,continuum,4507002,84493.0,3064.0,2343.0,2041.0,2.081605643175674,40.0,1.391525098261674
12.0,2,bipartite,700002,46,0.810019,continuum,4507002,88478.0,2973.0,2461.0,2146.0,2.0204939491520406,46.0,1.509700951307515
12.0,2,bipartite,700002,47,0.810019,continuum,4507002,85817.0,2978.0,2446.0,2192.0,2.0610312049029718,45.0,1.178518581945852
