source,condition,seed,status,heldout,null_gap,truth_error,G,score_kind,code_version,epsilon
P3,sprinkled,0.0,ok,0.035,0.20875,0.17104403501894683,1.0,exact,f2a6c1d,
P3,column_shuffle,0.0,heldout_upper_bound,0.24375,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,1.0,ok,0.04,0.18625,0.27352670954193464,0.8161832261451634,exact,f2a6c1d,
P3,column_shuffle,1.0,heldout_upper_bound,0.22625,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,2.0,ok,0.0225,0.26125,0.22193040052527904,0.9451739986868024,exact,f2a6c1d,
P3,column_shuffle,2.0,heldout_upper_bound,0.28375,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,3.0,ok,0.03125,0.24625000000000002,0.18592767295597484,1.0,exact,f2a6c1d,
P3,column_shuffle,3.0,heldout_upper_bound,0.2775,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,4.0,ok,0.065,0.23249999999999998,0.21865965834428383,0.8500000000000001,exact,f2a6c1d,
P3,column_shuffle,4.0,heldout_upper_bound,0.2975,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,5.0,ok,0.02375,0.2525,0.2185577803952362,0.9536055490119095,exact,f2a6c1d,
P3,column_shuffle,5.0,heldout_upper_bound,0.27625,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,6.0,ok,0.035,0.205,0.1587696335078534,1.0,exact,f2a6c1d,
P3,column_shuffle,6.0,heldout_upper_bound,0.24,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,7.0,ok,0.035,0.23750000000000002,0.13737558931377686,1.0,exact,f2a6c1d,
P3,column_shuffle,7.0,heldout_upper_bound,0.2725,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,8.0,ok,0.04375,0.285,0.18858267716535432,1.0,exact,f2a6c1d,
P3,column_shuffle,8.0,heldout_upper_bound,0.32875,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,9.0,ok,0.02875,0.2525,0.2211337513061651,0.9471656217345872,exact,f2a6c1d,
P3,column_shuffle,9.0,heldout_upper_bound,0.28125,,,0.0,upper_bound,f2a6c1d,
P5,uniform,0.0,ok,0.03,0.24875,0.12526205450733752,1.0,exact,f2a6c1d,
P5,uniform,1.0,ok,0.04625,0.10625,0.16078947368421054,0.5624999999999999,exact,f2a6c1d,
P5,uniform,2.0,ok,0.03625,0.22999999999999998,0.12899828879820982,1.0,exact,f2a6c1d,
P5,uniform,3.0,ok,0.05875,0.17375000000000002,0.10886408404464872,0.9125000000000001,exact,f2a6c1d,
P5,uniform,4.0,ok,0.08375,0.22000000000000003,0.20802005012531327,0.6625,exact,f2a6c1d,
P5,uniform,5.0,ok,0.02625,0.28,0.1436072459963245,1.0,exact,f2a6c1d,
P5,uniform,6.0,ok,0.05,0.3225,0.16760729754560966,1.0,exact,f2a6c1d,
P5,uniform,7.0,ok,0.04875,0.20749999999999996,0.16699462154007608,1.0,exact,f2a6c1d,
P5,uniform,8.0,ok,0.0325,0.24750000000000003,0.1281916293761516,1.0,exact,f2a6c1d,
P5,uniform,9.0,ok,0.01625,0.24875000000000003,0.10115303983228512,1.0,exact,f2a6c1d,
P5,beta=2,100.0,ok,0.025,0.22624999999999998,0.14006300866369126,1.0,exact,f2a6c1d,
P5,beta=2,100.0,ok,0.0375,0.20875,0.13422642500656684,1.0,exact,f2a6c1d,
P5,beta=2,100.0,ok,0.04,0.1725,0.17796498617875478,1.0,exact,f2a6c1d,
P5,beta=2,101.0,ok,0.03125,0.26125,0.11695983197689683,1.0,exact,f2a6c1d,
P5,beta=2,101.0,ok,0.02,0.2525,0.12342602308499476,1.0,exact,f2a6c1d,
P5,beta=2,101.0,ok,0.04375,0.26125,0.13866701584391777,1.0,exact,f2a6c1d,
P5,beta=2,102.0,ok,0.02875,0.21625,0.15838590956887486,1.0,exact,f2a6c1d,
P5,beta=2,102.0,ok,0.03375,0.22999999999999998,0.14278228975635315,1.0,exact,f2a6c1d,
P5,beta=2,102.0,ok,0.02875,0.2025,0.14349657714586625,1.0,exact,f2a6c1d,
P5,beta=32,,structural_block: only 0 chains,0.0,,,0.0,exact,f2a6c1d,
P5,beta=32,,structural_block: only 0 chains,1.0,,,0.0,exact,f2a6c1d,
P5,beta=32,,structural_block: only 0 chains,0.0,,,0.0,exact,f2a6c1d,
P5,beta=32,,structural_block: only 0 chains,1.0,,,0.0,exact,f2a6c1d,
P5,beta=8,100.0,ok,0.0325,0.22124999999999997,0.11930101169360137,1.0,exact,f2a6c1d,
P5,beta=8,100.0,ok,0.04,0.3125,0.13381483913328956,1.0,exact,f2a6c1d,
P5,beta=8,100.0,ok,0.03,0.24125,0.11983144587832499,1.0,exact,f2a6c1d,
P5,beta=8,101.0,ok,0.03375,0.2475,0.13234327769746354,1.0,exact,f2a6c1d,
P5,beta=8,101.0,ok,0.04625,0.23624999999999996,0.1740327868852459,1.0,exact,f2a6c1d,
P5,beta=8,101.0,ok,0.05125,0.27125,0.1430817610062893,0.9875,exact,f2a6c1d,
P5,beta=8,102.0,ok,0.03875,0.22749999999999998,0.1330263157894737,1.0,exact,f2a6c1d,
P5,beta=8,102.0,ok,0.0175,0.23874999999999996,0.09849377865094958,1.0,exact,f2a6c1d,
P5,beta=8,102.0,ok,0.06625,0.22374999999999998,0.21662933192779021,0.8375,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.1075,-0.0475,0.5201558720773986,0.0,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.13125,0.13375,0.3635876840696118,0.1875,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.13,0.04874999999999999,0.33460626810639976,0.0,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.18875,-0.04874999999999999,0.3939845549383552,0.0,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.1275,0.06375,0.3019476158495635,0.13749999999999996,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.21,0.01125000000000001,0.3540732929079884,0.0,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.09375,0.07874999999999999,0.3150066401062417,0.2874999999999998,exact,f2a6c1d,
P6,layered_hard_negative,100.0,ok,0.10375,0.08625000000000001,0.24489257941215237,0.36250000000000004,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.1675,-0.04125000000000001,0.4722521551724138,0.0,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.25,0.012500000000000011,0.4103691856590697,0.0,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.18,0.018750000000000017,0.368372582554927,0.0,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.07,0.0024999999999999883,0.42831565900013774,0.0,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.12875,0.0325,0.3619697577947277,0.0,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.2,0.05499999999999999,0.23222499671441713,0.0,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.15375,0.03375,0.4288372093023256,0.0,exact,f2a6c1d,
P6,layered_hard_negative,101.0,ok,0.2725,-0.06875000000000003,0.38605263157894737,0.0,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.06375,-0.015,0.5326204656199242,0.0,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.24375,0.017499999999999988,0.4534510433386838,0.0,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.09125,0.12375,0.2390011890606421,0.5875000000000001,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.10625,0.09250000000000001,0.43257514216084486,0.4185621445978879,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.17875,0.026249999999999996,0.40790176187933797,0.0,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.1875,0.10375000000000001,0.27371059227014904,0.0,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.2225,-0.007500000000000007,0.37443166622091467,0.0,exact,f2a6c1d,
P6,layered_hard_negative,102.0,ok,0.16375,0.09499999999999997,0.31269799366420276,0.0,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.0675,0.03375,0.504899292324442,0.0,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.14,0.06999999999999998,0.39564867042707497,0.09999999999999992,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.19,0.014999999999999986,0.22661727741764784,0.0,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.03375,0.05374999999999999,0.37396351575456055,0.03749999999999987,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.20125,-0.04375000000000001,0.3545515846257586,0.0,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.20125,-0.035,0.39262012211308733,0.0,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.1225,0.0875,0.3653564290473018,0.2750000000000001,exact,f2a6c1d,
P6,layered_hard_negative,103.0,ok,0.14875,0.08375000000000002,0.30149490673369495,0.012500000000000122,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.0575,0.1225,0.4710252600297177,0.32243684992570587,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.13625,0.0625,0.41390460792239286,0.12499999999999994,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.1,0.19375,0.37102100118874654,0.5,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.07375,0.12875000000000003,0.35286902003543685,0.6178274499114079,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.18625,-0.01874999999999999,0.3717452263319535,0.0,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.09,0.07625000000000001,0.27039534576226365,0.26250000000000007,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.19125,0.0012500000000000011,0.3594919786096257,0.0,exact,f2a6c1d,
P6,layered_hard_negative,104.0,ok,0.095,0.15,0.2206231845788223,0.55,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.025,0.03125,0.49262536873156343,0.0,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.185,0.05374999999999999,0.46750133191262655,0.0,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.1975,-0.0062500000000000056,0.38724133386055093,0.0,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.125,-0.0025000000000000022,0.4361731458505652,0.0,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.1475,-0.041249999999999995,0.38277703604806407,0.0,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.17,0.07499999999999998,0.34283828382838283,0.0,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.07,0.17124999999999999,0.33537315418384994,0.6615671145403752,exact,f2a6c1d,
P6,layered_hard_negative,105.0,ok,0.1625,0.06625,0.27530311017395886,0.0,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.06125,0.0875,0.4641752923780078,0.33956176905498053,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.15875,0.09249999999999997,0.3905143620574482,0.0,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.1525,0.0,0.31576872536136663,0.0,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.1175,-0.0012499999999999872,0.5068735538314958,0.0,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.1525,0.06625,0.34226666666666666,0.0,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.14,0.0875,0.43,0.09999999999999992,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.1475,0.036250000000000004,0.3284953395472703,0.0,exact,f2a6c1d,
P6,layered_hard_negative,106.0,ok,0.12875,0.0037500000000000033,0.24244017880620564,0.0,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.06375,0.035,0.5158783331100094,0.0,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.1525,0.08125000000000002,0.3333775713337757,0.0,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.2275,0.06125,0.3385691657866948,0.0,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.03125,0.10750000000000001,0.4008661523886859,0.4978346190282853,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.1725,-0.006249999999999978,0.3891697711548696,0.0,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.18125,0.0037500000000000033,0.33188291139240506,0.0,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.18875,0.07249999999999998,0.4161795961742827,0.0,exact,f2a6c1d,
P6,layered_hard_negative,107.0,ok,0.1275,0.04375000000000001,0.2738299274884641,0.0,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.1425,0.05750000000000002,0.4853777416734362,0.07500000000000018,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.20125,0.0024999999999999745,0.4697499327776284,0.0,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.1975,-0.036250000000000004,0.3495902722706846,0.0,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.17,-0.0037500000000000033,0.33342303552206676,0.0,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.14125,0.06625,0.34296028880866425,0.08750000000000019,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.11,0.115,0.2323645970937913,0.4,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.10625,0.105,0.42290158219361756,0.4375000000000001,exact,f2a6c1d,
P6,layered_hard_negative,108.0,ok,0.11625,0.11625,0.31295391522514193,0.3375,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.13625,-0.007500000000000007,0.44973687761435704,0.0,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.37375,-0.11875000000000002,0.4199864956110736,0.0,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.1475,0.03,0.2928373565492679,0.0,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.06625,0.19499999999999998,0.3699658703071672,0.575085324232082,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.13,0.1175,0.3981991667786588,0.2,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.2575,-0.03125,0.42704344381354814,0.0,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.16375,0.017499999999999988,0.3443452777407753,0.0,exact,f2a6c1d,
P6,layered_hard_negative,109.0,ok,0.195,-0.04375000000000001,0.22771100250957602,0.0,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.10375,0.05750000000000001,0.49352576207175614,0.07500000000000007,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.19875,0.03874999999999998,0.3591586794462194,0.0,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.18125,0.027499999999999997,0.2949241924851681,0.0,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.03375,0.12875,0.40856716822556594,0.4785820794360852,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.3075,-0.09,0.3810099382218641,0.0,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.1675,-0.03875000000000001,0.34317098994176815,0.0,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.1475,0.10624999999999998,0.3272434175174637,0.025000000000000133,exact,f2a6c1d,
P6,layered_hard_negative,110.0,ok,0.26,0.044999999999999984,0.3538969616908851,0.0,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.21625,-0.11499999999999999,0.47058823529411764,0.0,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.12875,0.10500000000000001,0.3820299946438136,0.21250000000000002,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.26125,-0.09249999999999997,0.3578864145473712,0.0,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.0575,0.14500000000000002,0.49438509997261026,0.2640372500684744,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.20125,-0.0625,0.4028594334580438,0.0,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.20375,0.048750000000000016,0.3664252797893351,0.0,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.2025,0.006249999999999978,0.33196177329439874,0.0,exact,f2a6c1d,
P6,layered_hard_negative,111.0,ok,0.20625,-0.023749999999999993,0.4036636794939378,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.3225,-0.0675,0.45070043103448276,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.3575,-0.13374999999999998,0.40524703688906644,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.06625,0.2325,0.2119700748129676,0.8375,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.035,0.11124999999999999,0.4663021189336979,0.33424470266575534,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.18,0.057499999999999996,0.4171420809562619,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.21625,-0.09375,0.3004196170993968,0.0,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.11625,0.09999999999999999,0.3588586595885866,0.3375,exact,f2a6c1d,
P6,layered_hard_negative,112.0,ok,0.21625,0.04999999999999999,0.38413032054650553,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.065,0.011249999999999996,0.47370550161812297,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.14625,0.015000000000000013,0.4307898259705489,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.11625,0.04375,0.4495776135163675,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.12625,-0.028749999999999998,0.46395841882095473,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.11625,0.13749999999999996,0.3655025326579579,0.3375,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.0925,0.125,0.24880889359449443,0.5750000000000001,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.1625,0.036250000000000004,0.4196286472148541,0.0,exact,f2a6c1d,
P6,layered_hard_negative,113.0,ok,0.13875,0.07374999999999998,0.42149088025376685,0.11249999999999993,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.185,-0.06874999999999999,0.43295225285810357,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.18375,-0.04000000000000001,0.38403755868544603,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.1975,-0.0050000000000000044,0.3232149927411904,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.0175,0.14,0.36951754385964913,0.5762061403508772,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.1475,0.027499999999999997,0.3563865433587991,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.19625,0.0050000000000000044,0.3620213185945519,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.185,0.007500000000000007,0.37292854302001854,0.0,exact,f2a6c1d,
P6,layered_hard_negative,114.0,ok,0.12,0.0625,0.37417654808959155,0.12499999999999994,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.06625,0.057499999999999996,0.45162596140871675,0.0749999999999999,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.1625,0.03875000000000001,0.4116856950973808,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.10875,0.09624999999999999,0.19526003949967083,0.4125000000000001,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.01125,0.07250000000000001,0.47032845707976817,0.22500000000000003,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.145,0.016250000000000014,0.35400724929520744,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.19125,0.07249999999999998,0.4277243378574252,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.1575,0.12999999999999998,0.42381205203079375,0.0,exact,f2a6c1d,
P6,layered_hard_negative,115.0,ok,0.22625,0.0,0.3282301702520787,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.04625,0.05500000000000001,0.5092082269122193,0.050000000000000044,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.2075,-0.03999999999999998,0.3350247028975831,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.1875,-0.008750000000000008,0.3755424063116371,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.0725,0.13124999999999998,0.423224043715847,0.4419398907103826,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.23875,-0.03375,0.35916722632639353,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.13625,0.04874999999999999,0.3640194916370341,0.0,exact,f2a6c1d,
P6,layered_hard_negative,116.0,ok,0.265,0.05124999999999996,0.45397877984084883,0.0,exact,f2a6c1d,
