stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout
B,109.0,b77f588,7fb0aca2db19a258,f6d79abd37653fff,4f9f3cba4eb345b9,109.0,37.0,column_shuffled,ok,3.0,2.5868975240563987,4000.0,1000.0,0.05775,0.122,0.06425,0.17838974143367667,nan,nan
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,structured,ok,1.0,5.496463501828917,4000.0,1000.0,0.01625,0.03,0.013749999999999998,0.12034760491733787,0.09647827920708561,0.496
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,structured,ok,2.0,5.496463501828917,4000.0,1000.0,0.019,0.04,0.021,0.1331072488342518,0.10691691269506537,0.412
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,structured,ok,3.0,5.496463501828917,4000.0,1000.0,0.0185,0.058,0.03950000000000001,0.14336583298007627,0.10944749051033319,0.527
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,column_shuffled,ok,1.0,2.828755566411484,4000.0,1000.0,0.25425,0.223,-0.031249999999999972,0.3592623993217465,nan,nan
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,column_shuffled,ok,2.0,2.828755566411484,4000.0,1000.0,0.11225,0.139,0.02675000000000001,0.22997032640949558,nan,nan
B,110.0,b77f588,14e33eb86b82d7ff,0bc00e22e9b4165e,58f2882f03e0d0f8,110.0,40.0,column_shuffled,ok,3.0,2.828755566411484,4000.0,1000.0,0.054,0.09,0.036,0.16718948707079273,nan,nan
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,structured,ok,1.0,4.661685698593435,4000.0,1000.0,0.00875,0.012,0.0032499999999999994,0.11414736842105264,0.07963667089142375,0.516
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,structured,ok,2.0,4.661685698593435,4000.0,1000.0,0.01225,0.039,0.02675,0.1336842105263158,0.09759188846641319,0.592
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,structured,ok,3.0,4.661685698593435,4000.0,1000.0,0.0155,0.073,0.057499999999999996,0.14185263157894737,0.11153358681875793,0.456
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,column_shuffled,ok,1.0,2.3978393852456996,4000.0,1000.0,0.21025,0.216,0.005750000000000005,0.23216842105263158,nan,nan
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,column_shuffled,ok,2.0,2.3978393852456996,4000.0,1000.0,0.092,0.147,0.05499999999999999,0.18332631578947373,nan,nan
B,111.0,b77f588,43110ca12bb604fb,ad78d63a7922f20b,8337e15590dcaee2,111.0,40.0,column_shuffled,ok,3.0,2.3978393852456996,4000.0,1000.0,0.063,0.117,0.054000000000000006,0.1542315789473684,nan,nan
B,112.0,b77f588,9c18755e8a548dd8,787cc21ce56a87e8,59bc6ad66be1a923,112.0,40.0,structured,ok,1.0,4.66295870388527,4000.0,1000.0,0.01225,0.018,0.005749999999999998,0.12384761102925701,0.08314914219555836,0.459
B,112.0,b77f588,9c18755e8a548dd8,787cc21ce56a87e8,59bc6ad66be1a923,112.0,40.0,structured,ok,2.0,4.66295870388527,4000.0,1000.0,0.015,0.023,0.008,0.13113028836034518,0.09577939164298495,0.44
B,112.0,b77f588,9c18755e8a548dd8,787cc21ce56a87e8,59bc6ad66be1a923,112.0,40.0,structured,ok,3.0,4.66295870388527,4000.0,1000.0,0.0185,0.051,0.0325,0.13946537571037676,0.10388380170508367,0.477
B,112.0,b77f588,9c18755e8a548dd8,787cc21ce56a87e8,59bc6ad66be1a923,112.0,40.0,column_shuffled,ok,1.0,2.359473267233266,4000.0,1000.0,0.26225,0.282,0.01974999999999999,0.2308145653546622,nan,nan
B,112.0,b77f588,9c18755e8a548dd8,787cc21ce56a87e8,59bc6ad66be1a923,112.0,40.0,column_shuffled,ok,2.0,2.359473267233266,4000.0,1000.0,0.1155,0.127,0.011499999999999996,0.22121658598189856,nan,nan
B,112.0,b77f588,9c18755e8a548dd8,787cc21ce56a87e8,59bc6ad66be1a923,112.0,40.0,column_shuffled,ok,3.0,2.359473267233266,4000.0,1000.0,0.06525,0.112,0.04675,0.21519680067354238,nan,nan
B,113.0,b77f588,2ca1928177fc6fd7,af640f93b072501d,b9efb070ee572df7,113.0,40.0,structured,ok,1.0,4.836982947260804,4000.0,1000.0,0.0115,0.026,0.014499999999999999,0.1253384094754653,0.0949273837086929,0.513
B,113.0,b77f588,2ca1928177fc6fd7,af640f93b072501d,b9efb070ee572df7,113.0,40.0,structured,ok,2.0,4.836982947260804,4000.0,1000.0,0.01275,0.034,0.021250000000000005,0.1310490693739425,0.09829509576931172,0.531
B,113.0,b77f588,2ca1928177fc6fd7,af640f93b072501d,b9efb070ee572df7,113.0,40.0,structured,ok,3.0,4.836982947260804,4000.0,1000.0,0.01475,0.053,0.03825,0.1414128595600677,0.10924015996632289,0.578
B,113.0,b77f588,2ca1928177fc6fd7,af640f93b072501d,b9efb070ee572df7,113.0,40.0,column_shuffled,ok,1.0,2.4983845220472887,4000.0,1000.0,0.25175,0.25,-0.0017499999999999738,0.30503384094754654,nan,nan
B,113.0,b77f588,2ca1928177fc6fd7,af640f93b072501d,b9efb070ee572df7,113.0,40.0,column_shuffled,ok,2.0,2.4983845220472887,4000.0,1000.0,0.097,0.131,0.034,0.227580372250423,nan,nan
B,113.0,b77f588,2ca1928177fc6fd7,af640f93b072501d,b9efb070ee572df7,113.0,40.0,column_shuffled,ok,3.0,2.4983845220472887,4000.0,1000.0,0.0505,0.121,0.0705,0.16666666666666666,nan,nan
B,114.0,b77f588,1b315ef71cdd534d,965202eb49d8f87d,39a05fffdd9e0040,114.0,40.0,structured,ok,1.0,5.472600643869205,4000.0,1000.0,0.01475,0.03,0.01525,0.12804903825829633,0.10299388572633354,0.515
B,114.0,b77f588,1b315ef71cdd534d,965202eb49d8f87d,39a05fffdd9e0040,114.0,40.0,structured,ok,2.0,5.472600643869205,4000.0,1000.0,0.01125,0.041,0.029750000000000002,0.13299513844853098,0.09519291587602784,0.546
B,114.0,b77f588,1b315ef71cdd534d,965202eb49d8f87d,39a05fffdd9e0040,114.0,40.0,structured,ok,3.0,5.472600643869205,4000.0,1000.0,0.01875,0.061,0.042249999999999996,0.14360600295920528,0.119966266076323,0.574
B,114.0,b77f588,1b315ef71cdd534d,965202eb49d8f87d,39a05fffdd9e0040,114.0,40.0,column_shuffled,ok,1.0,2.768414635475845,4000.0,1000.0,0.20175,0.243,0.04124999999999998,0.21581061086451073,nan,nan
B,114.0,b77f588,1b315ef71cdd534d,965202eb49d8f87d,39a05fffdd9e0040,114.0,40.0,column_shuffled,ok,2.0,2.768414635475845,4000.0,1000.0,0.10925,0.135,0.02575000000000001,0.1920946945677447,nan,nan
B,114.0,b77f588,1b315ef71cdd534d,965202eb49d8f87d,39a05fffdd9e0040,114.0,40.0,column_shuffled,ok,3.0,2.768414635475845,4000.0,1000.0,0.064,0.076,0.011999999999999997,0.17628408370323398,nan,nan
B,115.0,b77f588,8d603a2e5a175ec4,3fc20996ca854ae7,5abf41296aee00f0,115.0,40.0,structured,ok,1.0,5.525995293191222,4000.0,1000.0,0.0125,0.028,0.0155,0.131059170351653,0.09465020576131687,0.524
B,115.0,b77f588,8d603a2e5a175ec4,3fc20996ca854ae7,5abf41296aee00f0,115.0,40.0,structured,ok,2.0,5.525995293191222,4000.0,1000.0,0.0155,0.033,0.0175,0.14061907770056853,0.09950406246702544,0.504
B,115.0,b77f588,8d603a2e5a175ec4,3fc20996ca854ae7,5abf41296aee00f0,115.0,40.0,structured,ok,3.0,5.525995293191222,4000.0,1000.0,0.019,0.07,0.051000000000000004,0.14112444725205306,0.11385459533607682,0.522
B,115.0,b77f588,8d603a2e5a175ec4,3fc20996ca854ae7,5abf41296aee00f0,115.0,40.0,column_shuffled,ok,1.0,2.739567783750493,4000.0,1000.0,0.23625,0.285,0.04874999999999999,0.23541798273320697,nan,nan
B,115.0,b77f588,8d603a2e5a175ec4,3fc20996ca854ae7,5abf41296aee00f0,115.0,40.0,column_shuffled,ok,2.0,2.739567783750493,4000.0,1000.0,0.0945,0.084,-0.010499999999999995,0.19494630448515476,nan,nan
B,115.0,b77f588,8d603a2e5a175ec4,3fc20996ca854ae7,5abf41296aee00f0,115.0,40.0,column_shuffled,ok,3.0,2.739567783750493,4000.0,1000.0,0.04625,0.083,0.036750000000000005,0.14912613181722467,nan,nan
B,116.0,b77f588,72211c92788bfc89,19ceab1bb3757d73,c2e88d07bc56cca1,116.0,40.0,structured,ok,1.0,5.007100124702401,4000.0,1000.0,0.01125,0.02,0.00875,0.12101937657961245,0.09899223178668906,0.538
B,116.0,b77f588,72211c92788bfc89,19ceab1bb3757d73,c2e88d07bc56cca1,116.0,40.0,structured,ok,2.0,5.007100124702401,4000.0,1000.0,0.01225,0.036,0.023749999999999997,0.13395113732097727,0.09416334243124082,0.554
B,116.0,b77f588,72211c92788bfc89,19ceab1bb3757d73,c2e88d07bc56cca1,116.0,40.0,structured,ok,3.0,5.007100124702401,4000.0,1000.0,0.0155,0.053,0.0375,0.14406065711878685,0.11547344110854503,0.444
B,116.0,b77f588,72211c92788bfc89,19ceab1bb3757d73,c2e88d07bc56cca1,116.0,40.0,column_shuffled,ok,1.0,2.6203650464977235,4000.0,1000.0,0.23425,0.189,-0.04525000000000001,0.32649536647009264,nan,nan
B,116.0,b77f588,72211c92788bfc89,19ceab1bb3757d73,c2e88d07bc56cca1,116.0,40.0,column_shuffled,ok,2.0,2.6203650464977235,4000.0,1000.0,0.09425,0.136,0.04175000000000001,0.1795703454085931,nan,nan
B,116.0,b77f588,72211c92788bfc89,19ceab1bb3757d73,c2e88d07bc56cca1,116.0,40.0,column_shuffled,ok,3.0,2.6203650464977235,4000.0,1000.0,0.0585,0.119,0.06049999999999999,0.19119629317607414,nan,nan
B,117.0,b77f588,631da5172b46e1b7,2bca541eae670f18,23f68957a39d6ae7,117.0,40.0,structured,ok,1.0,5.265176455880427,4000.0,1000.0,0.0185,0.017,-0.0014999999999999979,0.13341761483354403,0.09449483231385783,0.445
B,117.0,b77f588,631da5172b46e1b7,2bca541eae670f18,23f68957a39d6ae7,117.0,40.0,structured,ok,2.0,5.265176455880427,4000.0,1000.0,0.02075,0.022,0.0012499999999999976,0.13632532659081334,0.10335372284328201,0.476
B,117.0,b77f588,631da5172b46e1b7,2bca541eae670f18,23f68957a39d6ae7,117.0,40.0,structured,ok,3.0,5.265176455880427,4000.0,1000.0,0.021,0.041,0.02,0.1441213653603034,0.10493566758067918,0.48
B,117.0,b77f588,631da5172b46e1b7,2bca541eae670f18,23f68957a39d6ae7,117.0,40.0,column_shuffled,ok,1.0,2.7446748246374097,4000.0,1000.0,0.213,0.268,0.05500000000000002,0.2323219553308049,nan,nan
B,117.0,b77f588,631da5172b46e1b7,2bca541eae670f18,23f68957a39d6ae7,117.0,40.0,column_shuffled,ok,2.0,2.7446748246374097,4000.0,1000.0,0.0965,0.144,0.04749999999999999,0.1882005899705015,nan,nan
B,117.0,b77f588,631da5172b46e1b7,2bca541eae670f18,23f68957a39d6ae7,117.0,40.0,column_shuffled,ok,3.0,2.7446748246374097,4000.0,1000.0,0.0465,0.119,0.0725,0.14551201011378,nan,nan
B,118.0,b77f588,1e1b820c73250385,739a8f4aea3a05da,822bb4e8031db32f,118.0,40.0,structured,ok,1.0,5.373579966030667,4000.0,1000.0,0.0125,0.026,0.013499999999999998,0.128975487115022,0.09420061046205662,0.426
B,118.0,b77f588,1e1b820c73250385,739a8f4aea3a05da,822bb4e8031db32f,118.0,40.0,structured,ok,2.0,5.373579966030667,4000.0,1000.0,0.02,0.033,0.013000000000000001,0.13232767651372304,0.11261972423955373,0.528
B,118.0,b77f588,1e1b820c73250385,739a8f4aea3a05da,822bb4e8031db32f,118.0,40.0,structured,ok,3.0,5.373579966030667,4000.0,1000.0,0.018,0.056,0.038000000000000006,0.13794259375654724,0.10430481001999789,0.522
B,118.0,b77f588,1e1b820c73250385,739a8f4aea3a05da,822bb4e8031db32f,118.0,40.0,column_shuffled,ok,1.0,2.749731218050364,4000.0,1000.0,0.225,0.251,0.025999999999999995,0.17414623926251832,nan,nan
B,118.0,b77f588,1e1b820c73250385,739a8f4aea3a05da,822bb4e8031db32f,118.0,40.0,column_shuffled,ok,2.0,2.749731218050364,4000.0,1000.0,0.1055,0.09,-0.0155,0.19819819819819817,nan,nan
B,118.0,b77f588,1e1b820c73250385,739a8f4aea3a05da,822bb4e8031db32f,118.0,40.0,column_shuffled,ok,3.0,2.749731218050364,4000.0,1000.0,0.046,0.082,0.036000000000000004,0.16811229834485647,nan,nan
B,119.0,b77f588,eea995145f9c5c56,dd5077c645e4533b,3317f208ca616a12,119.0,40.0,structured,ok,1.0,5.1644625422290575,4000.0,1000.0,0.01225,0.025,0.012750000000000001,0.11841048404142888,0.09272918861959958,0.564
B,119.0,b77f588,eea995145f9c5c56,dd5077c645e4533b,3317f208ca616a12,119.0,40.0,structured,ok,2.0,5.1644625422290575,4000.0,1000.0,0.018,0.049,0.031000000000000003,0.13519340519974637,0.10969441517386723,0.45
B,119.0,b77f588,eea995145f9c5c56,dd5077c645e4533b,3317f208ca616a12,119.0,40.0,structured,ok,3.0,5.1644625422290575,4000.0,1000.0,0.02075,0.067,0.04625,0.13181145635172264,0.11127502634351949,0.502
B,119.0,b77f588,eea995145f9c5c56,dd5077c645e4533b,3317f208ca616a12,119.0,40.0,column_shuffled,ok,1.0,2.685089358760683,4000.0,1000.0,0.224,0.253,0.028999999999999998,0.33764531811456355,nan,nan
B,119.0,b77f588,eea995145f9c5c56,dd5077c645e4533b,3317f208ca616a12,119.0,40.0,column_shuffled,ok,2.0,2.685089358760683,4000.0,1000.0,0.10475,0.136,0.031250000000000014,0.21974212640033822,nan,nan
B,119.0,b77f588,eea995145f9c5c56,dd5077c645e4533b,3317f208ca616a12,119.0,40.0,column_shuffled,ok,3.0,2.685089358760683,4000.0,1000.0,0.04025,0.085,0.044750000000000005,0.1824138659902769,nan,nan
